,,,,,,,,,,Steps,Population,Births,Deaths,Marriages,Laborers,,,Migrants
30,369,0,2,0,160,26,92,75,,786,391.4,49.56666667,27.2,15.76666667,120.2333333,40,95.53333333,93.9
30,370,0,1,0,160,25,92,76,,792,391.4333333,50,27.6,15.96666667,119.7,39.9,95.43333333,94.03333333
30,368,0,3,1,158,25,90,76,,798,391.5666667,50.4,27.86666667,16.16666667,119.3,39.73333333,95.5,94.16666667
30,371,0,0,1,161,24,93,76,,804,391.6666667,50.73333333,28.1,16.23333333,118.3666667,39.73333333,95.46666667,94.3
30,369,0,2,0,156,25,92,79,,810,391.7,51.06666667,28.4,16.36666667,117.8333333,39.66666667,95.5,94.53333333
30,370,0,1,1,159,24,93,77,,816,391.8333333,51.4,28.6,16.46666667,117.6333333,39.63333333,95.5,94.53333333
30,372,1,0,0,162,26,92,75,,822,392.0333333,51.8,28.8,16.66666667,117.3333333,39.5,95.7,94.63333333
30,370,0,0,0,159,25,92,78,,828,392.1666667,52.06666667,28.93333333,16.8,117.2666667,39.46666667,95.73333333,94.53333333
30,370,0,0,0,160,27,92,77,,834,392.0333333,52.33333333,29.26666667,16.96666667,116.7,39.4,95.7,94.76666667
30,370,0,1,1,160,25,93,76,,840,392.4,52.86666667,29.43333333,17.2,116.4333333,39.2,95.83333333,94.9
30,371,0,0,0,160,25,92,77,,846,392.4666667,53.13333333,29.63333333,17.36666667,116.1333333,39.06666667,95.9,95.03333333
30,371,0,0,0,162,26,92,75,,852,392.6,53.56666667,29.93333333,17.6,115.8,38.9,95.96666667,95.06666667
30,369,0,2,0,160,26,92,75,,858,392.6333333,53.93333333,30.26666667,17.8,115.4333333,38.8,95.86666667,95.1
30,371,0,0,1,161,24,93,76,,864,392.8,54.36666667,30.53333333,17.96666667,114.9,38.7,95.83333333,95.4
30,371,0,0,1,162,25,93,75,,870,392.9666667,54.8,30.8,18.06666667,114.5333333,38.63333333,95.86666667,95.43333333
30,370,0,1,0,159,25,92,77,,876,393.0333333,55.03333333,30.96666667,18.13333333,111.5,38.63333333,95.83333333,95.5
30,369,0,2,0,155,25,92,80,,882,393.3,55.63333333,31.3,18.33333333,116.9666667,38.5,95.86666667,95.63333333
30,370,0,1,0,157,25,92,79,,888,393.3666667,56.03333333,31.63333333,18.56666667,116.6,38.33333333,95.86666667,95.66666667
30,370,0,1,1,160,24,92,76,,894,393.4666667,56.46666667,31.96666667,18.56666667,116.2333333,38.4,95.63333333,95.66666667
