,,,,,,,,,,,,,,,,,,,,,,Steps,,,,,,,,,,,,,,,,,,,,
12,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,240,37.16666667,41.7,47.83333333,38,50.96666667,29.93333333,34.13333333,22.63333333,7.566666667,0,31.76666667,37.96666667,22.73333333,19.96666667,27,23.9,28.26666667,23.63333333,10.5,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,21,10,3,,246,37.4,41.66666667,47.83333333,38,50.96666667,29.93333333,34.13333333,22.6,7.566666667,0,32.1,37.96666667,22.73333333,19.96666667,27,23.9,28.26666667,23.63333333,10.46666667,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,252,37.6,41.66666667,47.83333333,38,50.96666667,29.93333333,34.06666667,22.6,7.566666667,0,32.36666667,37.96666667,22.73333333,19.96666667,27,23.9,28.23333333,23.63333333,10.46666667,2.933333333
12,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,258,37.9,41.66666667,47.83333333,38,50.96666667,29.93333333,34,22.6,7.566666667,0,32.83333333,37.96666667,22.73333333,19.96666667,27,23.9,28.2,23.63333333,10.43333333,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,264,38.16666667,41.63333333,47.83333333,38,50.96666667,29.93333333,33.9,22.53333333,7.533333333,0,33.23333333,37.96666667,22.73333333,19.96666667,27,23.9,28.16666667,23.63333333,10.43333333,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,270,38.56666667,41.63333333,47.83333333,38,50.96666667,29.93333333,33.86666667,22.46666667,7.533333333,0,33.46666667,37.96666667,22.73333333,19.96666667,27,23.9,28.16666667,23.6,10.43333333,2.933333333
12,33,46,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,276,39.13333333,41.63333333,47.83333333,38,50.96666667,29.93333333,33.8,22.43333333,7.533333333,0,33.7,37.93333333,22.73333333,19.96666667,27,23.9,28.1,23.56666667,10.43333333,2.933333333
12,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,282,39.26666667,41.63333333,47.83333333,38,50.96666667,29.93333333,33.8,22.43333333,7.466666667,0,34.06666667,37.93333333,22.73333333,19.96666667,27,23.9,28.06666667,23.5,10.43333333,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,21,10,3,,288,39.56666667,41.56666667,47.83333333,38,50.96666667,29.93333333,33.76666667,22.43333333,7.466666667,0,34.2,37.93333333,22.73333333,19.96666667,27,23.9,28.03333333,23.5,10.43333333,2.9
12,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,294,39.9,37.7,44.7,40,54.96666667,29.93333333,32.96666667,22.3,9.266666667,0,32.53333333,37.93333333,24.7,18.96666667,24,27.9,28.03333333,21.86666667,12.03333333,2.9
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,300,40.03333333,37.7,44.7,40,54.96666667,29.93333333,32.93333333,22.23333333,9.2,0,32.7,37.93333333,24.7,18.96666667,24,27.9,28,21.8,12.03333333,2.9
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,306,40.33333333,37.66666667,44.7,40,54.96666667,29.93333333,32.9,22.16666667,9.133333333,0,32.93333333,37.93333333,24.7,18.96666667,24,27.9,27.93333333,21.8,12.03333333,2.9
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,312,40.43333333,37.66666667,44.7,40,54.96666667,29.93333333,32.73333333,22.1,9.1,0,33.23333333,37.93333333,24.7,18.96666667,24,27.9,27.93333333,21.76666667,11.96666667,2.9
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,318,40.56666667,37.66666667,44.7,40,54.96666667,29.93333333,32.66666667,22.1,9.033333333,0,33.4,37.93333333,24.7,18.96666667,24,27.9,27.86666667,21.76666667,11.93333333,2.9
12,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,324,40.73333333,37.66666667,44.7,40,54.96666667,29.9,32.63333333,22.1,9.033333333,0,33.56666667,37.93333333,24.7,18.96666667,23.96666667,27.9,27.83333333,21.73333333,11.9,2.9
12,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,21,10,3,,330,40.96666667,37.66666667,44.7,40,54.96666667,29.9,32.56666667,22.03333333,8.966666667,0,33.86666667,37.93333333,24.7,18.96666667,23.96666667,27.9,27.8,21.73333333,11.9,2.9
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,336,41.06666667,37.63333333,44.7,40,54.96666667,29.9,32.5,22.03333333,8.966666667,0,33.96666667,37.93333333,24.7,18.96666667,23.96666667,27.9,27.76666667,21.73333333,11.9,2.9
12,33,47,49,45,41,28,37,23,4,0,26,45,19,17,30,23,29,22,10,3,,342,41.33333333,37.63333333,44.7,40,54.96666667,29.9,32.5,22,8.966666667,0,34.26666667,37.9,24.7,18.96666667,23.96666667,27.9,27.7,21.73333333,11.9,2.9
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,348,41.5,37.63333333,44.7,40,54.96666667,29.9,32.5,21.96666667,8.966666667,0,34.53333333,37.9,24.7,18.96666667,23.96666667,27.9,27.66666667,21.73333333,11.9,2.866666667
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,354,41.66666667,37.63333333,44.7,40,54.96666667,29.9,32.46666667,21.96666667,8.966666667,0,34.7,37.9,24.7,18.96666667,23.96666667,27.9,27.63333333,21.73333333,11.9,2.866666667
