Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
1170,168,209,1.7872340425531914,2.223404255319149,6.0900000000000025,3.9493617021276597,
1176,169,208,1.797872340425532,2.2127659574468086,6.1325531914893645,3.9280851063829787,
1182,169,208,1.797872340425532,2.2127659574468086,6.1325531914893645,3.9280851063829787,
1188,170,207,1.8085106382978724,2.202127659574468,6.185744680851067,3.874893617021277,
1194,170,207,1.8085106382978724,2.202127659574468,6.185744680851067,3.874893617021277,
1200,171,206,1.8191489361702127,2.1914893617021276,6.207021276595747,3.853617021276596,
1206,172,205,1.8297872340425532,2.1808510638297873,6.238936170212769,3.8429787234042556,
1212,172,205,1.8297872340425532,2.1808510638297873,6.238936170212769,3.8429787234042556,
1218,172,205,1.8297872340425532,2.1808510638297873,6.238936170212769,3.8429787234042556,
1224,173,204,1.8404255319148937,2.1702127659574466,6.249574468085109,3.8408510638297875,
1230,173,204,1.8404255319148937,2.1702127659574466,6.249574468085109,3.8408510638297875,
1236,173,204,1.8404255319148937,2.1702127659574466,6.249574468085109,3.8408510638297875,
1242,174,203,1.851063829787234,2.1595744680851063,6.304893617021278,3.798297872340426,
1248,175,202,1.8617021276595744,2.148936170212766,6.32617021276596,3.755744680851064,
1254,175,202,1.8617021276595744,2.148936170212766,6.32617021276596,3.755744680851064,
1260,175,202,1.8617021276595744,2.148936170212766,6.32617021276596,3.755744680851064,
1266,175,202,1.8617021276595744,2.148936170212766,6.32617021276596,3.755744680851064,
1272,175,202,1.8617021276595744,2.148936170212766,6.32617021276596,3.755744680851064,
1278,175,202,1.8617021276595744,2.148936170212766,6.32617021276596,3.755744680851064,
1284,176,201,1.872340425531915,2.1382978723404253,6.368723404255321,3.702553191489362,
1290,176,201,1.872340425531915,2.1382978723404253,6.368723404255321,3.702553191489362,
1296,176,201,1.872340425531915,2.1382978723404253,6.368723404255321,3.702553191489362,
1302,176,201,1.872340425531915,2.1382978723404253,6.368723404255321,3.702553191489362,
1308,176,201,1.872340425531915,2.1382978723404253,6.368723404255321,3.702553191489362,
1314,177,200,1.8829787234042554,2.127659574468085,6.374042553191491,3.684468085106383,
1320,178,199,1.8936170212765957,2.117021276595745,6.416595744680853,3.6631914893617026,
1326,179,198,1.9042553191489362,2.106382978723404,6.459148936170215,3.652553191489362,
1332,181,196,1.925531914893617,2.0851063829787235,6.541063829787236,3.6312765957446813,
1338,181,196,1.925531914893617,2.0851063829787235,6.541063829787236,3.6312765957446813,
1344,181,196,1.925531914893617,2.0851063829787235,6.541063829787236,3.6312765957446813,
1350,181,196,1.925531914893617,2.0851063829787235,6.541063829787236,3.6312765957446813,
1356,181,196,1.925531914893617,2.0851063829787235,6.541063829787236,3.6312765957446813,
1362,182,195,1.9361702127659575,2.074468085106383,6.55808510638298,3.6153191489361705,
1368,182,195,1.9361702127659575,2.074468085106383,6.55808510638298,3.6153191489361705,
1374,183,194,1.946808510638298,2.0638297872340425,6.581489361702128,3.6110638297872346,
1380,184,193,1.9574468085106382,2.0531914893617023,6.60276595744681,3.5897872340425536,
1386,187,190,1.9893617021276595,2.021276595744681,6.680212765957448,3.527872340425532,
1392,187,190,1.9893617021276595,2.021276595744681,6.680212765957448,3.527872340425532,
1398,188,189,2.0,2.0106382978723403,6.717446808510639,3.522553191489362,
1404,188,189,2.0,2.0106382978723403,6.717446808510639,3.522553191489362,
1410,188,189,2.0,2.0106382978723403,6.717446808510639,3.522553191489362,
1416,188,189,2.0,2.0106382978723403,6.717446808510639,3.522553191489362,
1422,188,189,2.0,2.0106382978723403,6.717446808510639,3.522553191489362,
1428,191,186,2.0319148936170213,1.9787234042553192,6.862127659574469,3.490638297872341,
1434,191,186,2.0319148936170213,1.9787234042553192,6.862127659574469,3.490638297872341,
1440,191,186,2.0319148936170213,1.9787234042553192,6.862127659574469,3.490638297872341,
1446,191,186,2.0319148936170213,1.9787234042553192,6.862127659574469,3.490638297872341,
1452,191,186,2.0319148936170213,1.9787234042553192,6.862127659574469,3.490638297872341,
1458,192,185,2.0425531914893615,1.9680851063829787,6.904680851063832,3.4374468085106384,
