HH_ID,Question_I,Frequency,latitude,longitude,x,y,,Question,Frequency_,,House,House,House,House,House,House,,HH_ID,2_2_i,HH_ID,2_2_ii,,,,
43,Fodder,5,27.9898,108.773,85,75,,8.4i-e,30,,"108,46,23.559","27,59,24.574",108.7732108,27.99015944,85,72,,121,"108,39,55.561",121,"27,58,47.613",108.6654336,27.9798925,81,9
46,Fuelwood,2.5,27.9939,108.77,86,74,,8.4i-a,15,,"108,46,25.566","27,59,25.312",108.7737683,27.99036444,85,72,,123,"108,39,55.508",123,"27,58,40.106",108.6654189,27.97780722,80,9
46,Bamboo,0.666666667,27.9849,108.765,83,73,,8.4i-c,4,,"108,46,25.566","27,59,25.312",108.7737683,27.99036444,85,72,,128,"108,39,54.257",128,"27,59,01,260",108.6650714,28.33333333,212,8
46,Fodder,0.5,27.9898,108.773,85,75,,8.4i-e,3,,"108,46,25.566","27,59,25.312",108.7737683,27.99036444,85,72,,129,"108,39,57.796",129,"27,58,42.900",108.6660544,27.97858333,80,9
47,Fuelwood,5,27.9974,108.771,88,75,,8.4i-a,30,,"108,46,24.697","27,59,26.378",108.7735269,27.99066056,85,72,,131,"108,46,57.948",131,"27,58,48.770",108.7827633,27.98021389,81,78
47,Bamboo,2,27.9895,108.774,85,76,,8.4i-c,12,,"108,46,24.697","27,59,26.378",108.7735269,27.99066056,85,72,,132,"108,46,57.161",132,"27,58,48.682",108.7825447,27.98018944,81,77
47,Mushrooms,0.333333333,27.9979,108.776,88,76,,8.4i-d,2,,"108,46,24.697","27,59,26.378",108.7735269,27.99066056,85,72,,133,"108,46,57.238",133,"27,58,49.188",108.7825661,27.98033,81,77
48,Fuelwood,1.666666667,27.9966,108.766,87,73,,8.4i-a,10,,"108,46,21.923","27,59,24.601",108.7727564,27.99016694,85,72,,134,"108,46,56.162",134,"27,58,48.111",108.7822672,27.98003083,81,77
48,Bamboo,0.5,27.9728,108.752,79,68,,8.4i-c,3,,"108,46,21.923","27,59,24.601",108.7727564,27.99016694,85,72,,135,"108,47,21.289",135,"27,59,16.112",108.7892469,27.98780889,84,81
48,Fodder,0.5,27.9921,108.773,86,75,,8.4i-e,3,,"108,46,21.923","27,59,24.601",108.7727564,27.99016694,85,72,,136,"108,46,56.697",136,"27,59,48.378",108.7824158,27.99677167,87,77
