HH_ID,Gender_1,Gender_2,Gender_3,Gender_4,Gender_5,Gender_6,Gender_7,Gender_8,Gender_9,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Education_1,Education_2,Education_3,Education_4,Education_5,Education_6,Education_7,Education_8,Education_9,Marriage_1 ,Marriage_2,Marriage_3,Marriage_4,Marriage_5,Marriage_6,Marriage_7,Marriage_8,Marriage_9,migration_network,Mig_age,Mig_gender,Mig_marriage ,Mig_education, Mig_year,Rice_paddles_mu,Rice_paddles_GTGP_mu,Dry_land_mu,Dry_land_GTGP_mu,Other_business_cash_last_yr,Mig_remittances,Other_labor_cash_last_yr,Social_gift_cash_last_yr,OX_cash_last_yr,Pig_cash_last_yr,Poultry_cash_last_yr,livestock_cash_last_yr,Ranger_yuan,Retirement_cash_last_yr,local_income_off_farm,Bank_loan_cash_last_yr,NonInstitute_loan_cash_last_yr
47,1,2,1,-3,-3,-3,-3,-3,-3,64,64,16,-3,-3,-3,-3,-3,-3,6,0,8,-3,-3,-3,-3,-3,-3,1,1,6,-3,-3,-3,-3,-3,-3,1,25,1,1,9,8,3,0,4,3,0,0,15000,0,0,0,0,0,0,900,15900,-3,-3
48,1,2,1,2,2,-3,-3,-3,-3,52,50,25,20,23,-3,-3,-3,-3,5,0,9,9,8,-3,-3,-3,-3,1,1,1,1,6,-3,-3,-3,-3,1,40,2,1,9,6,2,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,10000,60000
49,1,2,-3,-3,-3,-3,-3,-3,-3,83,82,-3,-3,-3,-3,-3,-3,-3,0,1,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,58,2,1,4,1,1.33,0,0.16,0,0,0,0,0,0,0,0,0,0,1320,1320,-3,-3
51,2,1,1,-3,-3,-3,-3,-3,-3,58,31,8,-3,-3,-3,-3,-3,-3,0,5,4,-3,-3,-3,-3,-3,-3,1,6,6,-3,-3,-3,-3,-3,-3,1,19,1,6,10,2,5,0,3,1.5,0,2000,15000,0,0,0,0,0,0,0,15000,-3,-3
53,1,2,1,-3,-3,-3,-3,-3,-3,57,43,85,-3,-3,-3,-3,-3,-3,7,0,10,-3,-3,-3,-3,-3,-3,1,1,1,-3,-3,-3,-3,-3,-3,1,27,2,6,12,6,2,0,0.8,0,0,12000,0,0,7020,0,0,7020,0,840,7860,-3,-3
54,1,2,-3,-3,-3,-3,-3,-3,-3,51,48,-3,-3,-3,-3,-3,-3,-3,5,1,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,22,1,6,11,2,2,0,2,0.5,0,0,0,0,0,2500,0,2500,0,0,2500,-3,-3
55,1,2,-3,-3,-3,-3,-3,-3,-3,47,45,-3,-3,-3,-3,-3,-3,-3,5,3,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,22,1,1,8,4,-3,-3,0.3,0,20000,0,0,0,0,0,0,0,400,0,20400,-3,2000
57,1,2,2,-3,-3,-3,-3,-3,-3,45,44,17,-3,-3,-3,-3,-3,-3,3,0,8,-3,-3,-3,-3,-3,-3,1,1,6,-3,-3,-3,-3,-3,-3,1,44,1,1,7,1,2,0,3,0.5,0,9000,0,25000,7000,0,0,7000,0,0,32000,-3,4000
63,1,2,2,-3,-3,-3,-3,-3,-3,44,76,15,-3,-3,-3,-3,-3,-3,3,4,7,-3,-3,-3,-3,-3,-3,1,1,6,-3,-3,-3,-3,-3,-3,1,38,1,6,12,6,0.8,0,0.8,0.5,0,0,0,30000,0,0,0,0,0,840,30840,-3,-2
64,1,2,-3,-3,-3,-3,-3,-3,-3,65,63,-3,-3,-3,-3,-3,-3,-3,5,0,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,1,26,1,1,9,4,7,0,3,1,0,0,0,0,0,0,0,0,0,1680,1680,-3,-3
