with,,without,
51,65,66,86
49,65,66,86
45,65,67,86
45,65,66,86
26,65,63,86
44,65,61,86
44,65,59,86
44,65,69,86
45,65,69,86
46,65,69,86
47,65,69,86
30,65,59,86
55,65,59,86
53,65,41,86
53,65,59,86
49,65,50,86
49,65,59,86
54,65,60,86
62,65,62,86
52,65,62,86
39,65,60,86
53,65,66,86
65,65,58,86
66,65,57,86
67,65,56,86
49,65,56,86
46,65,59,86
48,65,60,86
40,65,61,86
40,65,62,86
43,65,63,86
48,65,64,86
39,65,64,86
56,65,62,86
56,65,60,86
39,65,60,86
66,65,59,86
53,65,59,86
41,65,62,86
66,65,57,86
39,65,57,86
33,65,53,86
39,65,67,86
44,65,67,86
45,65,63,86
45,65,63,86
49,65,66,86
49,65,65,86
43,65,64,86
44,65,64,86
49,65,64,86
48,65,64,86
50,65,65,86
50,65,64,86
44,65,64,86
42,65,60,86
49,65,64,86
48,65,65,86
49,65,65,86
49,65,65,86
40,65,64,86
39,65,65,86
38,65,52,86
38,65,66,86
50,65,62,86
37,65,62,86
49,65,60,86
49,65,60,86
51,65,64,86
49,65,65,86
49,65,65,86
49,65,59,86
50,65,59,86
35,65,53,86
56,65,53,86
50,65,57,86
51,65,66,86
50,65,57,86
49,65,56,86
34,65,57,86
32,65,56,86
32,65,55,86
45,65,53,86
43,65,59,86
43,65,61,86
33,65,55,86
32,65,56,86
31,65,51,86
61,65,51,86
41,65,52,86
42,65,53,86
62,65,54,86
53,65,59,86
52,65,58,86
30,65,60,86
31,65,61,86
31,65,61,86
32,65,62,86
61,65,62,86
42,65,61,86
41,65,60,86
40,65,60,86
39,65,58,86
62,65,60,86
62,65,61,86
40,65,61,86
32,65,60,86
33,65,59,86
34,65,58,86
62,65,57,86
62,65,57,86
35,65,59,86
36,65,59,86
36,65,59,86
36,65,61,86
42,65,65,86
35,65,64,86
64,65,63,86
44,65,62,86
44,65,62,86
43,65,65,86
42,65,65,86
31,65,61,86
30,65,60,86
29,65,59,86
26,65,58,86
27,65,66,86
26,65,65,86
25,65,64,86
26,65,58,86
52,65,67,86
58,65,70,86
58,65,70,86
45,65,67,86
57,65,60,86
64,65,59,86
64,65,59,86
51,65,60,86
44,65,67,86
34,65,67,86
58,65,53,86
47,65,58,86
47,65,65,86
44,65,59,86
47,65,59,86
54,65,59,86
50,65,59,86
33,65,54,86
50,65,56,86
58,65,55,86
62,65,54,86
47,65,54,86
47,65,61,86
51,65,61,86
46,65,66,86
44,65,52,86
56,65,51,86
43,65,68,86
41,65,68,86
39,65,66,86
39,65,66,86
41,65,68,86
57,65,67,86
57,65,67,86
56,65,61,86
57,65,63,86
57,65,64,86
60,65,55,86
38,65,56,86
35,65,55,86
35,65,70,86
36,65,64,86
39,65,48,86
60,65,56,86
60,65,50,86
62,65,54,86
41,65,57,86
63,65,63,86
63,65,60,86
62,65,57,86
64,65,57,86
42,65,55,86
41,65,54,86
41,65,62,86
41,65,62,86
40,65,50,86
39,65,54,86
63,65,67,86
64,65,67,86
65,65,67,86
39,65,67,86
33,65,67,86
64,65,67,86
64,65,67,86
55,65,66,86
21,65,65,86
52,65,65,86
48,65,65,86
62,65,65,86
59,65,65,86
54,65,65,86
54,65,64,86
51,65,65,86
54,65,65,86
63,65,64,86
53,65,64,86
48,65,56,86
50,65,59,86
43,65,52,86
56,65,56,86
46,65,60,86
50,65,60,86
58,65,61,86
58,65,59,86
42,65,59,86
45,65,53,86
45,65,52,86
58,65,54,86
37,65,54,86
54,65,51,86
54,65,55,86
53,65,57,86
51,65,59,86
51,65,56,86
25,65,56,86
62,66,59,86
61,66,60,86
61,66,59,86
62,66,57,86
52,66,57,86
52,66,58,86
55,66,60,86
55,66,60,86
55,66,59,86
55,66,56,86
55,66,56,86
54,66,56,86
53,66,56,86
51,66,53,86
56,66,53,86
56,66,54,86
57,66,55,86
57,66,53,86
57,66,63,86
58,66,55,86
52,66,64,86
52,66,62,86
53,66,54,86
53,66,56,86
54,66,53,86
54,66,53,86
58,66,60,86
53,66,61,86
52,66,60,86
52,66,61,86
51,66,58,86
51,66,58,86
48,66,55,86
56,66,59,86
45,66,53,86
63,66,56,86
43,66,53,86
65,66,60,86
61,66,60,86
59,66,62,86
59,66,61,86
66,66,62,86
54,66,63,86
41,66,64,86
48,66,65,86
40,66,65,86
51,66,59,86
40,66,62,86
65,66,60,86
42,66,59,86
44,66,58,86
41,66,57,86
56,66,56,86
58,66,57,86
50,66,54,86
38,66,56,86
56,66,56,86
55,66,53,86
54,66,54,86
53,66,56,86
52,66,57,86
51,66,56,86
50,66,57,86
49,66,62,86
48,66,63,86
48,66,61,86
42,66,63,86
52,66,62,86
47,66,62,86
43,66,60,86
59,66,59,86
59,66,65,86
61,66,53,86
61,66,65,86
61,66,51,86
52,66,51,86
51,66,60,86
51,66,59,86
62,66,58,86
62,66,54,86
62,66,53,86
52,66,53,86
51,66,54,86
52,66,49,86
51,66,48,86
50,66,48,86
38,66,47,86
39,66,48,86
39,66,54,86
51,66,54,86
51,66,54,86
51,66,51,86
38,66,55,86
53,66,56,86
54,66,57,86
53,66,58,86
53,66,59,86
49,66,58,86
50,66,58,86
49,66,61,86
54,66,55,86
51,66,55,86
35,66,56,86
35,66,55,86
52,66,55,86
51,66,55,86
51,66,53,86
51,66,48,86
36,66,49,86
49,66,60,86
50,66,57,86
49,66,57,86
35,66,57,86
35,66,59,86
54,66,56,86
52,66,62,86
52,66,58,86
52,66,59,86
56,66,60,86
49,66,61,86
50,66,62,86
41,66,63,86
49,66,63,86
39,66,58,86
44,66,60,86
43,66,59,86
40,66,58,86
40,66,58,86
43,66,56,86
50,66,54,86
40,66,54,86
48,66,53,86
47,66,52,86
44,66,52,86
34,66,52,86
34,66,52,86
44,66,52,86
43,66,51,86
54,66,53,86
46,66,53,86
48,66,54,86
54,66,55,86
59,66,55,86
57,66,56,86
52,66,56,86
57,66,59,86
57,66,59,86
54,66,60,86
54,66,61,86
53,66,61,86
55,66,60,86
55,66,59,86
58,66,58,86
53,66,58,86
55,66,58,86
54,66,58,86
53,66,52,86
52,66,62,86
51,66,69,86
50,66,52,86
50,66,64,86
35,66,56,86
37,66,59,86
58,66,59,86
55,66,66,86
49,66,52,86
59,66,53,86
51,66,52,86
45,66,52,86
55,66,52,86
50,66,67,86
58,66,55,86
59,66,42,86
61,66,43,86
61,66,44,86
60,66,45,86
59,66,46,86
60,66,47,86
59,66,48,86
60,66,48,86
60,66,57,86
62,66,58,86
61,66,58,86
61,66,60,86
62,66,57,86
63,66,59,86
62,66,58,86
63,66,59,86
45,66,59,86
44,66,63,86
44,66,62,86
44,66,59,86
45,66,64,86
45,66,64,86
67,66,63,86
66,66,63,86
65,66,63,86
45,66,53,86
43,66,48,86
67,66,48,86
31,66,63,86
30,66,64,86
42,66,70,86
41,66,69,86
40,66,58,86
34,66,60,86
33,66,60,86
33,66,63,86
34,66,60,86
35,66,56,86
59,66,56,86
35,66,56,86
44,66,59,86
58,66,58,86
47,66,58,86
54,66,53,86
57,66,57,86
59,66,59,86
60,66,56,86
60,66,59,86
71,66,71,85
71,66,70,85
42,66,70,85
42,66,69,85
67,66,68,85
67,66,69,85
47,66,60,85
65,66,67,85
47,66,68,85
45,66,65,85
45,66,64,85
66,66,64,85
66,66,64,85
47,66,63,85
53,66,61,85
51,66,61,85
53,66,60,85
34,66,58,85
34,66,58,85
43,66,69,85
43,66,69,85
55,66,68,85
55,66,69,85
56,66,68,85
58,66,58,85
59,66,43,85
59,66,44,85
60,66,45,85
60,66,46,85
59,66,47,85
59,66,47,85
60,66,58,85
62,66,58,85
61,66,48,85
61,66,49,85
62,66,50,85
62,66,51,85
59,66,51,85
59,66,51,85
60,66,50,85
53,66,58,85
63,66,61,85
54,66,61,85
52,66,59,85
52,66,61,85
51,66,63,85
64,66,65,85
64,66,66,85
64,66,66,85
63,66,59,85
63,66,58,85
64,66,58,85
65,66,58,85
65,66,58,85
65,66,57,85
66,66,61,85
65,66,63,85
63,66,60,85
41,66,62,85
40,66,66,85
42,66,67,85
42,66,67,85
64,66,56,85
65,66,58,85
63,66,63,85
64,66,63,85
64,66,52,85
63,66,62,85
28,66,62,85
27,66,62,85
64,66,62,85
56,66,67,85
47,66,62,85
39,66,63,85
57,66,65,85
57,66,65,85
51,66,60,85
46,66,60,85
35,66,61,85
35,66,61,85
42,66,63,85
50,66,65,85
42,66,66,85
38,66,67,85
47,66,67,85
47,66,66,85
46,66,65,85
46,66,66,85
43,66,63,85
43,66,64,85
47,66,60,85
46,66,59,85
45,66,59,85
45,66,53,85
46,66,67,85
45,66,64,85
50,66,62,85
51,66,59,85
50,66,64,85
50,66,61,85
47,66,63,85
47,66,63,85
50,66,65,85
50,66,65,85
53,66,64,85
53,66,64,85
30,66,58,85
28,66,60,85
27,66,53,85
27,66,67,85
26,66,67,85
27,66,67,85
27,66,57,85
28,66,57,85
30,66,56,85
57,66,58,85
60,66,58,85
60,66,56,85
59,66,56,85
58,66,56,85
58,66,52,85
51,66,59,85
58,66,61,85
59,66,54,85
62,66,55,85
63,66,51,85
26,66,61,85
27,66,61,85
28,66,53,85
28,66,53,85
29,66,52,85
28,66,53,85
28,66,56,85
