with,,maxent,
62,65,58,88
52,65,59,88
39,65,59,88
53,65,59,88
65,65,59,88
66,65,59,88
67,65,59,88
49,65,59,88
46,65,59,88
48,65,59,88
40,65,59,88
40,65,59,88
43,65,60,88
48,65,60,88
39,65,60,88
56,65,60,88
56,65,60,88
39,65,60,88
66,65,60,88
53,65,60,88
41,65,60,88
66,65,60,88
39,65,60,88
33,65,61,88
39,65,61,88
44,65,61,88
45,65,61,88
45,65,61,88
49,65,61,88
49,65,61,88
43,65,61,88
44,65,61,88
49,65,61,88
48,65,61,88
50,65,61,88
50,65,61,88
44,65,61,88
42,65,61,88
49,65,61,88
48,65,62,88
49,65,62,88
49,65,62,88
40,65,62,88
39,65,62,88
38,65,62,88
38,65,62,88
50,65,62,88
37,65,62,88
49,65,62,88
49,65,62,88
51,65,62,88
49,65,62,88
49,65,62,88
49,65,62,88
50,65,62,88
35,65,63,88
56,65,63,88
50,65,63,88
51,65,63,88
50,65,63,88
49,65,63,88
34,65,63,88
32,65,63,88
32,65,63,88
45,65,63,88
43,65,63,88
43,65,63,88
33,65,63,88
32,65,63,88
31,65,63,88
61,65,63,88
41,65,64,88
42,65,64,88
62,65,64,88
53,65,64,88
52,65,64,88
30,65,64,88
31,65,64,88
31,65,64,88
32,65,64,88
61,65,64,88
42,65,64,88
41,65,64,88
40,65,64,88
39,65,64,88
62,65,64,88
62,65,64,88
40,65,65,88
32,65,65,88
33,65,65,88
34,65,65,88
62,65,65,88
62,65,65,88
35,65,65,88
36,65,65,88
36,65,65,88
36,65,65,88
42,65,65,88
35,65,65,88
64,65,65,88
44,65,65,88
44,65,65,88
43,65,65,88
42,65,66,88
31,65,66,88
30,65,66,88
29,65,66,88
26,65,66,88
27,65,66,88
26,65,66,88
25,65,66,88
26,65,66,88
52,65,66,88
58,65,66,88
58,65,66,88
45,65,66,88
57,65,66,88
64,65,66,88
64,65,66,88
51,65,67,88
44,65,67,88
34,65,67,88
58,65,67,88
47,65,67,88
47,65,67,88
