without,,maxent,
56,65,65,90
31,65,65,90
31,65,66,90
32,65,66,90
46,65,66,90
47,65,66,90
47,65,66,90
48,65,66,90
56,65,66,90
57,65,66,90
57,65,66,90
45,65,66,90
45,65,66,90
61,65,66,90
60,65,66,90
60,65,66,90
60,65,66,90
62,65,66,90
63,65,67,90
62,65,67,90
61,65,67,90
61,65,67,90
60,65,67,90
37,65,67,90
37,65,67,90
62,65,67,90
37,65,67,90
53,65,67,90
67,65,67,90
68,65,67,90
57,65,67,90
50,65,67,90
49,65,67,90
58,65,67,90
47,65,67,90
48,65,67,90
57,65,67,90
57,65,67,90
50,65,67,90
35,65,68,90
43,65,68,90
50,65,68,90
58,65,68,90
58,65,68,90
57,65,68,90
58,65,68,90
57,65,68,90
55,65,68,90
57,65,68,90
56,65,68,90
58,65,68,90
60,65,68,90
61,65,68,90
61,65,68,90
61,65,68,90
62,65,69,90
55,65,69,90
55,65,69,90
55,65,69,90
56,65,69,90
64,65,69,90
57,65,69,90
57,65,69,90
56,65,69,90
55,65,69,90
55,65,69,90
67,65,69,90
67,65,69,90
67,65,69,90
67,65,69,90
66,65,69,90
58,65,70,90
59,65,70,90
67,65,70,90
66,65,70,90
65,65,70,90
53,65,70,90
53,65,71,90
60,65,71,90
63,65,71,90
64,65,71,90
58,65,71,90
55,65,71,90
52,65,72,90
54,65,72,90
59,65,72,90
55,65,73,90
63,65,73,90
52,65,73,90
52,65,53,89
71,65,53,89
71,65,53,89
54,65,53,89
50,65,53,89
55,65,53,89
48,65,53,89
56,65,53,89
63,65,53,89
63,65,53,89
62,65,53,89
62,65,53,89
54,65,53,89
55,65,53,89
55,65,53,89
50,65,53,89
50,65,54,89
49,65,54,89
52,65,54,89
51,65,54,89
51,65,54,89
59,65,54,89
56,65,54,89
55,65,54,89
55,65,54,89
55,65,54,89
56,65,54,89
57,65,55,89
56,65,55,89
58,65,55,89
60,65,56,89
60,65,56,89
59,65,56,89
58,65,57,89
59,65,57,89
59,65,57,89
60,65,57,89
59,65,57,89
57,65,57,89
44,65,57,89
57,65,57,89
56,65,57,89
60,65,57,89
48,65,57,89
48,65,58,89
54,65,58,89
56,65,58,89
55,65,58,89
48,65,58,89
41,65,58,89
56,65,59,89
45,65,59,89
50,65,59,89
49,65,59,89
43,65,59,89
38,65,59,89
46,65,59,89
46,65,59,89
42,65,59,89
45,65,59,89
29,65,59,89
28,65,60,89
44,65,60,89
40,65,60,89
32,65,60,89
33,65,60,89
33,65,60,89
33,65,61,89
37,65,61,89
36,65,61,89
36,65,61,89
40,65,61,89
40,65,61,89
41,65,62,89
42,65,62,89
43,65,62,89
43,65,62,89
36,65,62,89
41,65,62,89
41,65,62,89
41,65,62,89
41,65,62,89
41,65,62,89
42,65,62,89
40,65,63,89
42,65,63,89
42,65,63,89
45,65,63,89
45,65,63,89
56,65,63,89
33,65,64,89
65,65,64,89
55,65,64,89
54,65,64,89
56,65,64,89
50,65,64,89
49,65,64,89
66,65,64,89
61,65,64,89
44,65,64,89
59,65,64,89
57,65,64,89
35,65,64,89
35,65,64,89
55,65,64,89
42,65,64,89
34,65,65,89
53,65,65,89
53,65,65,89
28,65,65,89
28,65,65,89
33,65,65,89
34,65,65,89
35,65,65,89
36,65,65,89
37,65,65,89
38,65,65,89
39,65,66,89
39,65,66,89
27,65,66,89
26,65,66,89
26,65,66,89
61,65,66,89
59,65,66,89
59,65,66,89
52,65,66,89
52,65,66,89
38,65,66,89
38,65,66,89
28,65,66,89
60,65,66,89
60,65,66,89
60,65,66,89
60,65,67,89
52,65,67,89
62,65,67,89
28,65,67,89
30,65,67,89
38,65,67,89
38,65,67,89
39,65,67,89
62,65,67,89
47,65,67,89
28,65,67,89
28,65,67,89
64,65,67,89
63,65,67,89
26,65,67,89
49,65,67,89
51,65,68,89
51,65,68,89
53,65,68,89
56,65,68,89
56,65,68,89
25,65,68,89
24,65,68,89
24,65,68,89
50,65,68,89
49,65,68,89
50,65,68,89
49,65,68,89
55,65,68,89
52,65,68,89
53,65,68,89
53,65,68,89
50,65,69,89
51,65,69,89
